Name;AddedVersion;RemovedVersion;ReAddedVersion;RenamedVersion
NotifyMsiInstaller;1.15.2;;;
NotifyNoCopy;1.7.0;;;
NotifyProcessAccessDenied;1.0.18;;;
NotifyRootProtected;1.15.5;;;
NotifyStartRunAccessDenied;;;;
NoUACProxy;1.0.4;;;
NoUntrustedToken;1.14.1;;;
NtNamespaceIsolation;1.8.0;;;
OnBoxDelete;1.0.10;;;
OnBoxDeleteDisabled;1.0.10;;;
OnBoxTerminate;1.13.1;;;
OnBoxTerminateDisabled;1.13.1;;;
OnFileRecovery;1.4.0;;;
OnFileRecoveryDisabled;1.4.0;;;
OpenAllSysCalls;1.15.9;;;
OpenBluetooth;0.6.5;0.7.3;;
OpenClipboard;0.7.5;;;
OpenClsid;;;;
OpenClsidDisabled;;;;
OpenConfPath;1.0.0;;;
OpenConfPathDisabled;1.0.0;;;
OpenCredentials;;;;
OpenDefaultClsid;0.3.0;0.5.3a;;
OpenDevCMApi;0.7.0;;;
OpenFilePath;;;;
OpenFilePathDisabled;;;;
OpenIpcPath;;;;
OpenIpcPathDisabled;;;;
OpenKeyPath;;;;
OpenKeyPathDisabled;;;;
OpenLsaEndpoint;0.5.4;;;
OpenPipePath;;;;
OpenPipePathDisabled;;;;
OpenPrintSpooler;0.5.4;;;
OpenProtectedStorage;;;;
OpenSamEndpoint;0.7.0;;;
OpenSmartCard;0.5.4;0.7.3;;
OpenToken;0.2.1;1.0.7;;
OpenUPnP;0.7.1;0.7.3;;
OpenWinClass;;;;
OpenWinClassDisabled;;;;
OpenWndStation;1.14.9;;;
OpenWPADEndpoint;1.15.0;;;
OriginalToken;0.2.1;;;
OverrideOsBuild;0.7.2;;;
PinToTray;1.0.1;;;
PipeTrace;;;;
PreferExternalManifest;0.4.5;;;
ProcessGroup;;;;
ProcessLimit;0.9.7;;;
ProcessLimit1;;0.7.1;;
ProcessLimit2;;0.7.1;;
ProcessMemoryLimit;1.14.0;;;
ProcessNumberLimit;1.14.0;;;
PromptForFileMigration;0.7.4;;;
PromptForInternetAccess;0.5.0;;;
PromptOnSecureDesktop;1.16.0;;;
ProtectHostImages;1.9.0;;;
ProtectRpcSs;0.3.0;0.5.4b;;
RamDiskLetter;1.11.1;;;
RamDiskSizeKb;1.11.0;;;
RandomRegUID;1.14.7;;;
ReadFilePath;;;;
ReadFilePathDisabled;;;;
ReadIpcPath;1.0.16;;;
ReadIpcPathDisabled;1.0.16;;;
ReadKeyPath;;;;
ReadKeyPathDisabled;;;;
RecoverFolder;;;;
ReplicateToken;1.14.1;;;
RestrictDevices;1.3.0;;;
RpcMgmtSetComTimeout;0.6.7;;;
RpcPortBinding;0.7.3;;;
RpcPortBindingIfId;0.7.3;;;
RpcPortBindingSvc;0.7.3;;;
RpcPortFilter;1.14.2;;;
RunCommand;;;;
RunRpcssAsSystem;0.9.7;;;
RunServiceAsSystem;0.5.4b;;;
RunServicesAsSystem;0.5.4;;;
SandboxieAllGroup;1.14.1;;;
SandboxieLogon;0.2.2;;;
SandboxService;0.5.5;;;
SbieCtrl_ActiveView;;;;
SbieCtrl_AddContextMenu;;;;
SbieCtrl_AddDesktopIcon;;;;
SbieCtrl_AddQuickLaunchIcon;;;;
SbieCtrl_AddSendToMenu;;;;
SbieCtrl_AlwaysOnTop;;;;
SbieCtrl_AutoApplySettings;;;;
SbieCtrl_AutoRunSoftCompat;;;;
SbieCtrl_AutoStartAgent;;;;
SbieCtrl_BoxExpandedView;;;;
SbieCtrl_EditConfNotify;;;;
SbieCtrl_EnableAutoStart;;;;
SbieCtrl_EnableLogonStart;;;;
SbieCtrl_ExplorerNotify;;;;
SbieCtrl_ExplorerWarn;;;;
SbieCtrl_HideMessage;;;;
SbieCtrl_HideWindowNotify;;;;
SbieCtrl_NextUpdateCheck;;;;
SbieCtrl_ProcSettingsNotify;;;;
SbieCtrl_RecoverTarget;;;;
SbieCtrl_ReloadConfNotify;;;;
SbieCtrl_ResMonNotify;;;;
SbieCtrl_SaveRecoverTargets;;;;
SbieCtrl_SettingChangeNotify;;;;
SbieCtrl_ShortcutNotify;;;;
SbieCtrl_ShouldDeleteNotify;;;;
SbieCtrl_ShowWelcome;;;;
SbieCtrl_TerminateNotify;;;;
SbieCtrl_TerminateWarn;;;;
SbieCtrl_UpdateCheckNotify;;;;
SbieCtrl_UserName;;;;
SbieCtrl_WindowCoords;;;;
SbieTrace;0.9.7;;;
SeparateUserFolders;0.2.2;;;
ShowForRunIn;0.8.7;;;
SkipHook;;;;
SmallIcons;;;;
SoftwareUpdater;1.0.10;;;
SpecialImage;0.5.3a;;;
StartCommand;0.9.5;1.0.10;;
StartProgram;;;;
StartProgramDisabled;;;;
StartRunAccess;;;;
StartRunAccessDisabled;;;;
StartRunAlertDenied;0.5.0;;;
StartService;;;;
StartServiceDisabled;;;;
StartSystemBox;0.9.5;;;
StripSystemPrivileges;0.5.4;;;
SysCallLockDown;1.3.0;;;
TaskbarName;;;;
TaskbarProgram;;;;
TaskbarUnique;;;;
Template;;;;
TemplateReject;0.4.0;;;
TerminateJobObject;1.15.4;;;
TerminateUsingService;0.8.5;;;
Tmpl.Brave;;;;
Tmpl.Chrome;;;;
Tmpl.Class;;;;
Tmpl.Comment;1.13.4;;;
Tmpl.Dragon;;;;
Tmpl.Edge;;;;
Tmpl.eDocPrinter;;;;
Tmpl.eM_Client;;;;
Tmpl.Entry;;;;
Tmpl.FinePrint;;;;
Tmpl.Firefox;;;;
Tmpl.Hide;;;;
Tmpl.Incredimail;;;;
Tmpl.Iron;;;;
Tmpl.KasperskyDataRoot;;;;
Tmpl.LibreWolf;;;;
Tmpl.Maxthon_6;;;;
Tmpl.Office_Outlook;;;;
Tmpl.Opera;;;;
Tmpl.Opera_Mail;;;;
Tmpl.Osiris;;;;
Tmpl.PaleMoon;;;;
Tmpl.RoboForm;;;;
Tmpl.Scan;;;;
Tmpl.ScanFile;;;;
Tmpl.ScanIpc;;;;
Tmpl.ScanKey;;;;
Tmpl.ScanProduct;;;;
Tmpl.ScanScript;;;;
Tmpl.ScanService;;;;
Tmpl.ScanWinClass;;;;
Tmpl.SeaMonkey;;;;
Tmpl.Slimjet;;;;
Tmpl.TheBat;;;;
Tmpl.Thunderbird;;;;
Tmpl.Title;;;;
Tmpl.Ungoogled;;;;
Tmpl.Url;;;;
Tmpl.Version;;;;
Tmpl.Vivaldi;;;;
Tmpl.Waterfox;;;;
Tmpl.Windows_Live_Mail;;;;
Tmpl.Windows_Vista_Mail;;;;
Tmpl.Yandex;;;;
Tmpl.Zotero;;;;
TotalMemoryLimit;1.14.0;;;
TraceBufferPages;0.7.0;;;
UnfilteredToken;0.2.1;;;
UnRestrictAppContainerToken;1.8.4;;;
UnrestrictedSCM;0.3.0;;;
UnrestrictedToken;0.2.1;;;
UnstrippedToken;1.0.6;;;
UsbSandbox;1.12.0;;;
UseChangeSpeed;1.14.0;;;
UseCreateToken;1.14.1;;;
UseDragDropHack;1.9.6;;;
UseDriverObjLookup;1.10.3;;;
UseElectronWorkaround;1.0.3;;;
UseFileDeleteV2;1.1.0;;;
UseFileImage;1.11.0;;;
UseNonRudeHwndHack;1.16.0;;;
UseObjectNameForKeys;0.8.8;;;
UseOriginalACLs;1.15.0;;;
UsePrivacyMode;1.0.0;;;
UseProxyThreads;1.15.12;;;
UseRamDisk;1.11.0;;;
UseRegDeleteV2;1.1.0;;;
UseRpcMgmtSetComTimeout;0.7.1;;;
UseRuleSpecificity;1.0.0;;;
UseSandboxDesktop;1.14.7;;;
UseSandboxieUAC;1.16.0;;;
UseSbieDeskHack;1.1.2;;;
UseSbieWndStation;0.7.3;;;
UseSecurityMode;1.3.0;;;
UseVivaldiWorkaround;1.0.19;1.4.2;;
UseVolumeGuidWhenNoLetter;1.13.1;;;
UseVolumeSerialNumbers;0.8.0;;;
UseWin32kHooks;1.0.11;;;
WaitForDebugger;;;;
WaitForDebuggerAll;1.1.0;;;
WaitForDebuggerCmdLine;1.8.2;;;
WaitForDebuggerSilent;1.5.0;;;
WriteFilePath;;;;
WriteFilePathDisabled;;;;
WriteKeyPath;;;;
WriteKeyPathDisabled;;;;
